state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,17,1,3968
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,17,1,3840
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,17,1,3968
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,17,1,4031
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,17,1,3968
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,17,1,4031
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,17,1,3840
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-101,-12,17,1,3775
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,16,1,3840
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-102,-12,16,1,3711
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,16,1,3904
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-101,-12,16,1,3775
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,16,1,3840
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,16,1,3904
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,16,1,4095
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-102,-12,16,1,3584
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-108,-14,16,1,2880
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-110,-16,16,1,2624
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-109,-16,16,1,2688
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-11,16,1,4031
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-11,16,1,3968
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,16,1,3968
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,16,1,3904
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-101,-12,15,1,3775,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4351,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4351,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4288,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4351,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-98,-12,15,1,4160,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-11,15,1,4288,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4224,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,15,1,4095,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-102,-12,15,1,3711,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,15,1,3904,9
state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,15,1,4095,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-101,-12,15,1,3775,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-12,15,1,4288,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,15,1,4095,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-100,-12,15,1,3904,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-99,-12,15,1,4031,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,4991,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-105,-14,18,1,3264,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-109,-14,15,1,2688,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-111,-14,15,1,2495,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-107,-12,15,1,2944,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-107,-12,15,1,3071,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-107,-12,15,1,3071,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-115,-20,15,1,1920,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-107,-13,15,1,3008,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-105,-14,15,1,3200,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-97,-11,15,1,4288,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,4991,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4991,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4928,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,15,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,15,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,15,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,16,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,15,1,4800,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4928,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,17,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4864,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,4928,9
NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-95,-11,16,1,4544,9
