timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-01-23 18:46:21,108,1,4,3,20,14,3,5,15.8,-99,38,66.2,-16,16.6,14.8,1,2.895,5,12,2,5
2025-01-23 18:46:21,87,1,12235,5422,129,62,0,0,17.4,-96.7,38,63.5,-16,26.9,13.2,1,2.294,4,15,2,6
2025-01-23 18:46:22,108,1,40348,64793,19,14,1,4,22.1,-93.7,38,62.9,-16,16,15.9,1,2.955,5,12,2,5
2025-01-23 18:46:22,87,1,63254,15193,12,8,0,1,15.9,-97,38,65.4,-16,27,14.2,1,2.667,5,15,2,6
2025-01-23 18:46:22,108,1,43291,58785,18,13,2,5,17,-100.2,38,66.6,-14,16,14,1,3.053,5,10,2,5
2025-01-23 18:46:22,87,1,66095,8530,12,4,0,0,19.6,-96.5,38,63.4,-16,27,11.8,2,2,2,15,2,6
2025-01-23 18:46:23,108,1,33458,54483,16,14,6,9,10.6,-104.5,38,71.2,-14,13,8.5,2,3.56,5,10,2,5
2025-01-23 18:46:23,87,1,128729,29869,28,16,0,0,15.9,-98.5,38,63.5,-16,27,12.6,2,2.062,3,15,2,6
2025-01-23 18:46:24,108,1,32777,46455,15,15,2,10,9.8,-104.9,38,71.7,-15,13,4.7,1,3.481,5,10,2,5
2025-01-23 18:46:24,87,1,57411,16188,13,9,0,0,18.4,-97,38,65.2,-16,26.9,12.4,2,2.222,4,15,2,6
2025-01-23 18:46:24,108,1,41325,55387,19,16,8,1,13.7,-102.4,38,70.1,-15,13,4.1,1,2.111,5,10,2,5
2025-01-23 18:46:24,87,1,62062,8050,11,4,1,0,20,-98.5,38,65.2,-16,27,12,2,2,2,15,2,6
2025-01-23 18:46:25,108,1,39588,49600,20,15,10,3,12.1,-103.6,38,70.8,-15,12.8,4.6,1,2.421,5,9,2,5
2025-01-23 18:46:25,87,1,56502,11954,13,6,0,0,19.6,-98.4,38,63.6,-16,26.9,11.8,2,2,2,15,2,6
2025-01-23 18:46:26,108,1,38593,66824,20,18,2,2,11.6,-103.2,38,70.9,-15,12.3,3.8,1,2.35,5,10,2,5
2025-01-23 18:46:26,87,1,74072,12290,17,6,0,0,18.3,-96.6,38,63.6,-16,26.9,12.2,2,2.167,3,15,2,6
2025-01-23 18:46:26,108,1,40491,149040,22,23,7,2,10.6,-104.1,38,71.5,-14,12.7,4.5,1,2.5,5,8,2,5
2025-01-23 18:46:26,87,1,156262,14114,21,8,0,0,18.8,-98.7,38,63.2,-16,27,12.6,2,2,2,15,2,6
2025-01-23 18:46:27,108,1,37908,135177,21,22,5,3,7.9,-107,38,70.3,-15,12.7,3.8,1,2.29,5,10,2,5
2025-01-23 18:46:27,87,1,145565,21668,22,13,0,0,15.4,-97.2,38,63.9,-16,27,13.2,2,2.308,3,15,2,6
2025-01-23 18:46:28,108,1,37551,120642,19,24,1,4,11.2,-104,38,70.2,-15,12.9,3,1,2.429,5,11,2,5
2025-01-23 18:46:28,87,1,167212,33745,30,17,0,2,18.2,-98.8,38,63.9,-16,27,12.5,1,2.053,5,15,2,6
2025-01-23 18:46:28,108,1,46578,119975,21,28,5,4,3.2,-112.4,38,67.4,-15,13.3,2.4,1,2.25,5,9,2,5
2025-01-23 18:46:28,87,1,109759,16722,15,8,0,0,19.6,-96.7,38,64,-16,26.9,12.2,2,2.125,3,15,2,6
2025-01-23 18:46:29,108,1,33534,117220,15,30,1,1,8.6,-106.2,34,68.1,-11,13,1.7,1,1.742,5,11,2,5
2025-01-23 18:46:29,87,1,115320,13647,18,7,0,0,16.6,-97.3,38,64.3,-16,27,12.3,2,2,2,15,2,6
2025-01-23 18:46:30,108,1,41659,120734,22,25,7,3,10.4,-104.9,36,67.1,-13,13,2.4,1,2.226,5,11,2,5
2025-01-23 18:46:30,87,1,111644,11733,17,7,0,0,18.1,-98.4,38,63.5,-16,27,12.4,1,2.143,4,15,2,6
2025-01-23 18:46:30,108,1,39500,111593,19,29,3,5,1.7,-113.2,38,68.4,-15,13.5,2.1,1,2.294,5,9,2,5
2025-01-23 18:46:30,87,1,120766,16824,21,10,1,0,17,-96.9,38,63.7,-16,27,12.8,1,2.1,3,15,2,6
2025-01-23 18:46:31,108,1,41560,117926,20,32,7,0,10.6,-105,38,67.6,-15,13.8,1.2,1,1.406,4,11,2,5
2025-01-23 18:46:31,87,1,108402,15085,19,8,0,0,17.7,-98.6,38,62.8,-16,26.9,13.2,2,2.25,4,15,2,6
2025-01-23 18:46:32,108,1,36909,115406,18,30,5,3,8.2,-106.2,38,67,-15,13.1,1.8,1,1.879,5,11,2,5
2025-01-23 18:46:32,87,1,108484,10872,16,6,0,0,17.9,-96.8,38,63.8,-16,27,12.2,2,2.167,3,15,2,6
2025-01-23 18:46:32,108,1,36741,112988,18,24,5,0,11.2,-103.9,34,68.1,-11,14.2,1.9,1,1.417,3,10,2,5
2025-01-23 18:46:32,87,1,115070,12282,19,7,0,1,19.5,-98.7,38,63.7,-16,26.9,14,1,2.5,5,15,2,6
2025-01-23 18:46:33,108,1,34278,124157,16,26,3,0,12.1,-103.6,38,66.1,-15,12.3,2.4,1,1.231,2,10,2,5
2025-01-23 18:46:33,87,1,113927,9272,17,5,0,0,17.9,-97.1,38,63.7,-16,26.9,13,2,2.2,3,15,2,6
2025-01-23 18:46:34,108,1,42853,156783,20,30,3,0,6.3,-108.5,38,69.2,-15,13,2.4,1,1.433,3,10,2,5
2025-01-23 18:46:34,87,1,145894,12514,16,8,0,0,17.7,-97.1,38,64.6,-16,27,11.2,1,2.125,5,15,2,6
2025-01-23 18:46:34,108,1,46036,145296,22,27,2,0,9.7,-105.5,38,66.8,-15,13.1,2.6,1,1.548,3,10,2,5
2025-01-23 18:46:34,87,1,151357,20800,21,11,0,0,20.3,-98.6,38,63.6,-16,27,11.4,2,2.091,3,15,2,6
2025-01-23 18:46:35,108,1,38047,136552,19,30,3,0,8.7,-106.4,38,69.8,-15,13.5,1.6,1,1.633,4,10,2,5
2025-01-23 18:46:35,87,1,130223,13329,18,7,0,0,20.1,-98.5,38,64.9,-16,26.9,12.1,2,2.143,3,15,2,6
2025-01-23 18:46:36,108,1,37737,132091,20,37,2,0,12.8,-103.6,34,69,-11,12.3,1.2,1,1.405,4,9,2,5
2025-01-23 18:46:36,87,1,130400,12274,23,7,1,0,20.5,-98.6,38,64.9,-16,27,12.4,2,2,2,15,2,6
2025-01-23 18:46:36,108,1,36890,54865,19,16,3,0,24.5,-92.5,38,61.5,-14,13.1,5.5,1,1.353,2,10,2,5
2025-01-23 18:46:36,87,1,61621,9182,13,5,1,0,18.9,-96.7,38,64.6,-16,27,12.8,2,2.2,3,15,2,6
2025-01-23 18:46:37,108,1,42112,67462,20,14,0,1,16.7,-97.1,36,65.4,-14,12.6,13.6,1,1.882,5,9,2,5
2025-01-23 18:46:37,87,1,62950,8100,10,5,0,0,18.7,-98.9,38,63.4,-16,27,13,2,2.2,3,15,2,6
2025-01-23 18:46:38,108,1,44537,60037,21,15,3,0,23.3,-92.4,36,65,-12,14.3,10.1,1,1.688,3,10,2,5
2025-01-23 18:46:38,87,1,60175,10975,10,6,0,0,18.7,-98.6,38,65.5,-16,26.9,12,1,1.833,2,15,2,6
2025-01-23 18:46:38,108,1,39470,130388,19,18,1,0,19.8,-95.7,38,63.8,-14,13.4,10.8,1,1.478,2,11,2,5
2025-01-23 18:46:38,87,1,138129,8717,13,6,0,0,18.7,-96,38,65.9,-16,27,13.3,2,2.333,3,15,2,6
2025-01-23 18:46:39,108,1,41054,144642,19,19,1,0,23.7,-90.5,36,64.6,-12,14.3,9.3,1,1.6,3,12,2,5
2025-01-23 18:46:39,87,1,149200,10581,13,6,1,0,16.7,-97.1,38,62.5,-16,26.9,12.7,2,2.333,4,15,2,6
2025-01-23 18:46:40,108,1,40824,126593,19,15,4,0,15.7,-98.5,38,64.2,-14,14.9,13.1,1,1.682,2,11,2,5
2025-01-23 18:46:40,87,1,110036,9066,12,6,0,1,18.5,-98.9,38,63.6,-16,27,13.3,1,2.429,5,15,2,6
2025-01-23 18:46:40,108,1,47300,108250,22,17,0,0,19.3,-94.2,34,63.1,-12,14.5,10.4,1,1.429,2,12,2,5
2025-01-23 18:46:40,87,1,117825,13050,15,7,0,0,17.9,-98.9,38,64.6,-16,26.9,13,1,2.286,4,15,2,6
2025-01-23 18:46:41,108,1,47450,111787,18,17,0,0,21.6,-95,38,64.4,-16,15.8,10.5,1,1.429,5,12,2,5
2025-01-23 18:46:41,87,1,105462,9862,11,6,1,0,18,-97.3,38,63.8,-16,27,13.2,2,2.333,4,15,2,6
2025-01-23 18:46:42,108,1,41188,105835,20,15,2,0,13.3,-102.8,38,68.5,-14,13.6,6.3,1,1.579,3,10,2,5
2025-01-23 18:46:42,87,1,101341,9235,10,6,0,0,18.6,-98.3,38,63.4,-16,27,12.3,1,2,3,15,2,6
2025-01-23 18:46:42,108,1,38509,107054,19,20,1,0,12.4,-103,38,69.8,-15,11.3,3.1,1,1.696,3,10,2,5
2025-01-23 18:46:42,87,1,110206,8581,14,4,0,0,20.1,-98.5,38,63.7,-16,26.9,12,2,2,2,15,2,6
2025-01-23 18:46:43,108,1,37875,123275,19,24,4,0,10.8,-103.9,38,69.5,-15,13.3,2.9,1,1.68,4,10,2,5
2025-01-23 18:46:43,87,1,112812,10312,15,6,0,0,16.2,-98,38,65.9,-16,27,13.8,2,2.333,3,15,2,6
2025-01-23 18:46:44,108,1,42729,107000,22,25,4,0,11.7,-103.3,34,67.9,-11,12.7,2.3,1,1.75,4,11,2,5
2025-01-23 18:46:44,87,1,115882,15905,17,8,0,0,19.4,-98.7,38,62.9,-16,27,12,2,2,2,15,2,6
2025-01-23 18:46:44,108,1,40880,110742,20,24,3,0,11.3,-104,38,67,-15,12.4,3.3,1,1.704,3,9,2,5
2025-01-23 18:46:44,87,1,106422,13165,17,7,1,0,16.6,-98.6,38,63.6,-16,26.9,11.7,2,2,2,15,2,6
2025-01-23 18:46:45,108,1,37437,129562,16,25,0,0,9.8,-105.3,38,66.7,-15,12.4,3.3,1,1.571,3,11,2,5
2025-01-23 18:46:45,87,1,114725,10812,15,6,0,0,19.6,-98.6,38,63.7,-16,27,11.8,1,1.833,2,15,2,6
2025-01-23 18:46:46,108,1,42800,113675,19,22,2,0,18.4,-96.8,36,66.3,-13,13.6,4.2,1,1.652,4,12,2,5
2025-01-23 18:46:46,87,1,119300,12225,15,6,1,0,19.2,-98.7,38,62.8,-16,27,12.5,2,2.167,3,15,2,6
2025-01-23 18:46:46,108,1,49294,112047,21,20,4,0,17.8,-96.5,38,65.5,-14,14.8,9,1,1.48,2,11,2,5
2025-01-23 18:46:46,87,1,120576,18670,20,10,0,0,18.1,-98.5,38,64.7,-16,26.9,11.7,1,2,3,15,2,6
2025-01-23 18:51:21,113,1,6,3,43,17,14,7,13,-103.2,36,67.5,-14,13.6,12.6,1,3.208,5,9,2,5
2025-01-23 18:51:21,87,1,23248,5869,1507,740,6,5,18.8,-99.2,38,64.9,-16,26.9,12.3,1,2.141,5,15,2,6
2025-01-23 18:51:22,113,1,34009,54147,17,13,2,4,20.1,-96.1,38,67,-14,12.2,9.4,1,2.833,5,9,2,5
2025-01-23 18:51:22,87,1,60559,7867,11,5,0,0,17.6,-97.2,38,62.6,-16,27,13.2,2,2.2,3,15,2,6
2025-01-23 18:51:23,113,1,33482,55529,16,13,4,8,17.4,-100,38,66.5,-16,12.8,11.8,1,3.273,5,10,2,5
2025-01-23 18:51:23,87,1,59152,8329,10,4,0,0,16.6,-98.9,38,63.5,-16,27,12,2,2,2,15,2,6
2025-01-23 18:51:23,113,1,41362,59787,20,16,8,5,11.7,-103.3,38,69.6,-14,11.6,7.4,1,3.045,5,9,2,5
2025-01-23 18:51:23,87,1,62725,15187,11,7,1,0,18.7,-97,38,63.9,-16,26.8,11.9,2,2,2,15,2,6
2025-01-23 18:51:24,113,1,33188,51400,21,17,12,1,10.8,-105.1,38,71.8,-15,11,3.3,1,2.368,5,9,2,5
2025-01-23 18:51:24,87,1,57855,8366,12,5,0,0,17.4,-97.1,38,65.7,-16,27,12.8,2,2.4,3,15,2,6
2025-01-23 18:51:25,113,1,33655,97208,19,19,7,8,3.7,-111.1,38,71.2,-15,10.2,3.4,1,2.966,5,8,2,5
2025-01-23 18:51:25,87,1,95518,7742,11,4,0,0,18.2,-99.1,38,63.7,-16,27,11.8,2,2,2,15,2,6
2025-01-23 18:51:25,113,1,27933,99933,14,21,3,5,10.1,-105.5,38,69.3,-14,9.8,3.8,1,2.933,5,9,2,5
2025-01-23 18:51:25,87,1,112372,12006,16,6,0,0,15.4,-97.2,38,63,-16,26.9,12,2,2,2,15,2,6
2025-01-23 18:51:26,113,1,39927,126533,19,20,6,3,8.8,-104.6,36,70.4,-13,13,3.8,1,2.36,5,10,2,5
2025-01-23 18:51:26,87,1,114072,12945,15,7,0,0,19.4,-99.2,38,64.9,-14,26.9,12.1,1,1.857,2,15,2,6
2025-01-23 18:51:27,113,1,43192,102278,20,18,9,1,14.5,-101.5,38,67.8,-14,12.6,5.9,1,2.5,5,10,2,5
2025-01-23 18:51:27,87,1,104920,13560,12,7,0,1,17.7,-98.8,38,65,-16,26.9,13.7,2,2.5,5,15,2,6
2025-01-23 18:51:27,113,1,35731,115469,19,22,8,3,11.4,-104.1,38,66.6,-15,11.9,3.2,1,2.448,5,9,2,5
2025-01-23 18:51:27,87,1,117603,11803,16,6,0,0,15.9,-99,38,63.3,-16,27,11.2,1,1.833,2,15,2,6
2025-01-23 18:51:28,113,1,39658,165800,22,25,8,0,12.6,-103,38,69.4,-15,10.4,3.9,1,1.903,5,8,2,5
2025-01-23 18:51:28,87,1,207517,37611,37,23,0,2,17,-97.3,38,66.1,-14,26.9,12.9,1,2.32,5,15,2,6
2025-01-23 18:51:29,113,1,38188,157152,21,24,0,1,11.3,-103.9,38,67.9,-15,9,3.5,1,2.194,5,8,2,5
2025-01-23 18:51:29,87,1,134670,12458,16,7,0,0,17.5,-97.2,38,64.3,-16,27,12.1,2,2,2,15,2,6
2025-01-23 18:51:29,113,1,40176,98729,21,23,0,0,11.8,-104.1,38,67.6,-15,9,3,1,1.458,4,8,2,5
