timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-02-05 18:06:33,5,1,50326,3719,1994,969,188,54,14.3,-101,38,69,-14,11.8,6,1,2.175,5,10,2,5
2025-02-05 18:06:33,3,1,353019,6473,4831,1273,91,39,8.3,-107.7,38,71.3,-14,24.6,3.3,1,2.3,5,15,2,5
2025-02-05 18:06:33,2,1,134759,30207,8786,8062,295,85,6.3,-110.3,38,73.1,-15,24.1,1.6,1,2.514,5,15,2,5
2025-02-05 18:06:34,5,1,44412,59935,17,14,0,0,10.2,-105.3,38,67.1,-15,13,4.2,1,1.625,3,10,2,5
2025-02-05 18:06:34,3,1,3264,0,1,0,0,0,8.3,-107.7,38,71.3,-14,25,15,2,5
2025-02-05 18:06:34,2,1,61445,10916,10,6,0,0,4.7,-112.4,38,72.8,-15,26,3,2,2.833,3,15,2,5
2025-02-05 18:06:34,5,1,44375,58242,18,15,1,0,10.2,-104.7,38,68.8,-15,13.7,3.9,1,1.824,3,10,2,5
2025-02-05 18:06:34,3,1,3066,0,1,0,0,0,8.3,-107.7,38,71.3,-14,25,15,2,5
2025-02-05 18:06:34,2,1,56036,6836,9,4,1,0,4.7,-110.9,38,72.6,-15,26,3,2,2.5,3,15,2,5
2025-02-05 18:06:35,5,1,48315,75006,20,17,3,0,11.3,-104,36,69.7,-13,13.3,3.6,1,1.529,3,10,2,5
2025-02-05 18:06:35,3,1,3066,0,1,0,0,0,8.3,-107.7,38,71.3,-14,25,15,2,5
2025-02-05 18:06:35,2,1,62884,12193,11,6,1,0,5.7,-110.8,38,72.8,-15,25.1,3,2,2.667,4,15,2,5
2025-02-05 18:06:36,5,1,42212,63737,17,15,1,0,14.6,-100.3,38,68.6,-15,12.4,4.9,1,1.824,4,10,2,5
2025-02-05 18:06:36,3,1,4462,0,2,0,0,0,8.3,-107.7,38,71.3,-14,26,15,2,5
2025-02-05 18:06:36,2,1,71425,7050,13,4,0,0,5.6,-111,38,72.1,-15,25,3,2,2.75,3,15,2,5
2025-02-05 18:06:36,5,1,55112,75250,22,20,1,0,14.9,-100.3,38,68.4,-15,13.3,5,1,1.818,3,10,2,5
2025-02-05 18:06:36,3,1,3262,0,1,0,0,0,8.3,-107.7,38,71.3,-14,26,15,2,5
2025-02-05 18:06:36,2,1,61137,7050,10,4,1,0,6.4,-109.4,38,73.3,-15,25,3,2,3,4,15,2,5
